Identifier,Property Address,City,State,Zip,Y,X,Council District,Property Type,Square Footage
NOR900871,"518 DIANA ST","New Orleans","LA","70114","29.944488412000453","-90.05035250599968",C,VACANT LOT,
NOR900872,"1301 ELMIRA AVE","New Orleans","LA","70114","29.94215275600044","-90.0475217669997",C,VACANT LOT,
NOR900873,"1052101 ELMIRA AVE","New Orleans","LA","70114","29.939852190000465","-90.04764824999967",C,VACANT LOT,
NOR900874,"422 HOMER ST","New Orleans","LA","70114","29.946537441000487","-90.05160205799967",C,VACANT LOT,
NOR900875,"509 HOMER ST","New Orleans","LA","70114","29.946523228000444","-90.05067940299966",C,VACANT LOT,
NOR900876,"839 BELLEVILLE ST/ 724 HOMER ST","New Orleans","LA","70114","29.94671273300048","-90.04834256299966",C,VACANT LOT,
NOR900877,"819 HOMER ST","New Orleans","LA","70114","29.946503093000445","-90.04773259199965",C,VACANT LOT,
NOR900878,"1102701 LEBOEUF ST","New Orleans","LA","70114","29.931513478000454","-90.04276813399969",C,VACANT LOT,
NOR900879,"1205 LEBOEUF ST","New Orleans","LA","70114","29.94294275800047","-90.04229259899967",C,VACANT LOT,
NOR900880,"1519 LEBOEUF ST","New Orleans","LA","70114","29.939543502000447","-90.04252237399965",C,VACANT LOT,
NOR900881,"1306 PTOLEMY ST","New Orleans","LA","70114","29.940138075000448","-90.04321880799966",C,VACANT LOT,
NOR900882,"1308 PTOLEMY ST","New Orleans","LA","70114","29.94012741600045","-90.04313945099966",C,VACANT LOT,
NOR900884,"1100 VALLETTE ST","New Orleans","LA","70114","29.944388922000485","-90.04946893699969",C,VACANT LOT,
NOR900885,"1202 LEBOEUF ST","New Orleans","LA","70114","29.943028035000452","-90.04222864099967",C,VACANT LOT,
NOR900886,"615 NEWTON ST","New Orleans","LA","70114","29.945533062000436","-90.04978991099966",C,VACANT LOT,
NOR900887,"416 NEWTON ST","New Orleans","LA","70114","29.94548151200047","-90.05193237999964",C,VACANT LOT,
NOR900888,"1231 NUNEZ ST","New Orleans","LA","70114","29.942599279000433","-90.05084166699964",C,VACANT LOT,
NOR900889,"827 VERRET ST","New Orleans","LA","70114","29.946976857000436","-90.05035250599968",C,VACANT LOT,
